PMID,SMILES,Compound_ID,DOI,Year,EC50_EBOV,EC50_SUDV,EC50_MARV,CC50,SI,Mechanism_Declared,Target_Tested_Yes_No,Suggested_Tier,Confidence_Score_Final,Reason_Tier,docking_deltaG_Lpoly,docking_deltaG_VP40,docking_deltaG_VP35,Abstract
33778258,,,10.1021/acsomega.0c05996,2021,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Severe acute respiratory coronavirus 2 (SARS-CoV-2) is a newly identified virus that has resulted in over 2.5 million deaths globally and over 116 million cases globally in March, 2021. Small-molecule inhibitors that reverse disease severity have proven difficult to discover. One of the key approaches that has been widely applied in an effort to speed up the translation of drugs is drug repurposing. A few drugs have shown <i>in vitro</i> activity against Ebola viruses and demonstrated activity against SARS-CoV-2 <i>in vivo</i>. Most notably, the RNA polymerase targeting remdesivir demonstrated activity <i>in vitro</i> and efficacy in the early stage of the disease in humans. Testing other small-molecule drugs that are active against Ebola viruses (EBOVs) would appear a reasonable strategy to evaluate their potential for SARS-CoV-2. We have previously repurposed pyronaridine, tilorone, and quinacrine (from malaria, influenza, and antiprotozoal uses, respectively) as inhibitors of Ebola and Marburg viruses <i>in vitro</i> in HeLa cells and mouse-adapted EBOV in mice <i>in vivo</i>. We have now tested these three drugs in various cell lines (VeroE6, Vero76, Caco-2, Calu-3, A549-ACE2, HUH-7, and monocytes) infected with SARS-CoV-2 as well as other viruses (including MHV and HCoV 229E). The compilation of these results indicated considerable variability in antiviral activity observed across cell lines. We found that tilorone and pyronaridine inhibited the virus replication in A549-ACE2 cells with IC<sub>50</sub> values of 180 nM and IC<sub>50</sub> 198 nM, respectively. We used microscale thermophoresis to test the binding of these molecules to the spike protein, and tilorone and pyronaridine bind to the spike receptor binding domain protein with <i>K</i> <sub>d</sub> values of 339 and 647 nM, respectively. Human C<sub>max</sub> for pyronaridine and quinacrine is greater than the IC<sub>50</sub> observed in A549-ACE2 cells. We also provide novel insights into the mechanism of these compounds which is likely lysosomotropic."
33478059,,,10.3390/molecules26020510,2021,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Pseudouridimycin (PUM) was recently discovered from <i>Streptomyces</i> sp. DSM26212 as a novel bacterial nucleoside analog that competes with UTP for access to the RNA polymerase (RNAP) active site, thereby inhibiting bacterial RNAP by blocking transcription. This represents a novel antibacterial mode of action and it is known that PUM inhibits bacterial RNAP in vitro, inhibits bacterial growth in vitro, and was active in vivo in a mouse infection model of <i>Streptococcus pyogenes</i> peritonitis. The biosynthetic gene cluster (BGC) was previously identified and characterized by knockout experiments. However, the minimal set of genes necessary for PUM production was not proposed. To identify the minimal BGC and to create a plug-and-play production platform for PUM and its biosynthetic precursors, several versions of a redesigned PUM BGC were generated and expressed in the heterologous host <i>Streptomyces coelicolor</i> M1146 under control of strong promotors. Heterologous expression allowed identification of the putative serine/threonine kinase PumF as an enzyme essential for heterologous PUM production and thus corroboration of the PUM minimal BGC."
33299990,,,10.1101/2020.12.01.407361,2020,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"SARS-CoV-2 is a newly identified virus that has resulted in over 1.3 M deaths globally and over 59 M cases globally to date. Small molecule inhibitors that reverse disease severity have proven difficult to discover. One of the key approaches that has been widely applied in an effort to speed up the translation of drugs is drug repurposing. A few drugs have shown <i>in vitro</i> activity against Ebola virus and demonstrated activity against SARS-CoV-2 <i>in vivo</i> . Most notably the RNA polymerase targeting remdesivir demonstrated activity <i>in vitro</i> and efficacy in the early stage of the disease in humans. Testing other small molecule drugs that are active against Ebola virus would seem a reasonable strategy to evaluate their potential for SARS-CoV-2. We have previously repurposed pyronaridine, tilorone and quinacrine (from malaria, influenza, and antiprotozoal uses, respectively) as inhibitors of Ebola and Marburg virus <i>in vitro</i> in HeLa cells and of mouse adapted Ebola virus in mouse <i>in vivo</i> . We have now tested these three drugs in various cell lines (VeroE6, Vero76, Caco-2, Calu-3, A549-ACE2, HUH-7 and monocytes) infected with SARS-CoV-2 as well as other viruses (including MHV and HCoV 229E). The compilation of these results indicated considerable variability in antiviral activity observed across cell lines. We found that tilorone and pyronaridine inhibited the virus replication in A549-ACE2 cells with IC <sub>50</sub> values of 180 nM and IC <sub>50</sub> 198 nM, respectively. We have also tested them in a pseudovirus assay and used microscale thermophoresis to test the binding of these molecules to the spike protein. They bind to spike RBD protein with K <sub>d</sub> values of 339 nM and 647 nM, respectively. Human C <sub>max</sub> for pyronaridine and quinacrine is greater than the IC <sub>50</sub> hence justifying <i>in vivo</i> evaluation. We also provide novel insights into their mechanism which is likely lysosomotropic."
33144657,,,10.1038/s41598-020-76033-1,2020,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Inhibition of the kinase ATR, a central regulator of the DNA damage response, eliminates subsets of cancer cells in certain tumors. As previously shown, this is at least partly attributable to synthetic lethal interactions between ATR and POLD1, the catalytic subunit of the polymerase δ. Various POLD1 variants have been found in colorectal cancer, but their significance as therapeutic targets for ATR pathway inhibition remains unknown. Using CRISPR/Cas9 in the colorectal cancer cell line DLD-1, which harbors four POLD1 variants, we established heterozygous POLD1-knockout clones with exclusive expression of distinct variants to determine the functional relevance of these variants individually by assessing their impact on ATR pathway activation, DNA replication, and cellular sensitivity to inhibition of ATR or its effector kinase CHK1. Of the four variants analyzed, only POLD1<sup>R689W</sup> affected POLD1 function, as demonstrated by compensatory ATR pathway activation and impaired DNA replication. Upon treatment with ATR or CHK1 inhibitors, POLD1<sup>R689W</sup> strongly decreased cell survival in vitro, which was attributable at least partly to S phase impairment and apoptosis. Similarly, treatment with the ATR inhibitor AZD6738 inhibited growth of murine xenograft tumors, harboring the POLD1<sup>R689W</sup> variant, in vivo. Our POLD1-knockout model thus complements algorithm-based models to predict the pathogenicity of tumor-specific variants of unknown significance and illustrates a novel and potentially clinically relevant therapeutic approach using ATR/CHK1 inhibitors in POLD1-deficient tumors."
33125669,,,10.1007/s12275-020-0283-1,2020,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"6S RNA, a conserved and abundant small non-coding RNA found in most bacteria, regulates gene expression by inhibiting RNA polymerase (RNAP) holoenzyme. 6S RNAs from α-proteobacteria have been studied poorly so far. Here, we present a first in-depth analysis of 6S RNAs from two α-proteobacteria species, Bradyrhizobium japonicum and Sinorhizobium meliloti. Although both belong to the order Rhizobiales and are typical nitrogen-fixing symbionts of legumes, their 6S RNA expression profiles were found to differ: B. japonicum 6S RNA accumulated in the stationary phase, thus being reminiscent of Escherichia coli 6S RNA, whereas S. meliloti 6S RNA level peaked at the transition to the stationary phase, similarly to Rhodobacter sphaeroides 6S RNA. We demonstrated in vitro that both RNAs have hallmarks of 6S RNAs: they bind to the σ<sup>70</sup>-type RNAP holoenzyme and serve as templates for de novo transcription of so-called product RNAs (pRNAs) ranging in length from ∼13 to 24 nucleotides, with further evidence of the synthesis of even longer pRNAs. Likewise, stably bound pRNAs were found to rearrange the 6S RNA structure to induce its dissociation from RNAP. Compared with B. japonicum 6S RNA, considerable conformational heterogeneity was observed for S. meliloti 6S RNA and its complexes with pRNAs, even though the two 6S RNAs share ∼75% sequence identity. Overall, our findings suggest that the two rhizobial 6S RNAs have diverged with respect to their regulatory impact on gene expression throughout the bacterial life cycle."
32763313,,,10.1016/j.antiviral.2020.104899,2020,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Remdesivir was shown to inhibit RNA-dependent RNA-polymerases (RdRp) from distinct viral families such as from Filoviridae (Ebola) and Coronaviridae (SARS-CoV, SARS-CoV-2, MERS). In this study, we tested the ability of remdesivir to inhibit RdRps from the Flaviviridae family. Instead of remdesivir, we used the active species that is produced in cells from remdesivir, the appropriate triphosphate, which could be directly tested in vitro using recombinant flaviviral polymerases. Our results show that remdesivir can efficiently inhibit RdRps from viruses causing severe illnesses such as Yellow fever, West Nile fever, Japanese and Tick-borne encephalitis, Zika and Dengue. Taken together, this study demonstrates that remdesivir or its derivatives have the potential to become a broad-spectrum antiviral agent effective against many RNA viruses."
32284326,,,10.1074/jbc.RA120.013679,2020,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Effective treatments for coronavirus disease 2019 (COVID-19) are urgently needed to control this current pandemic, caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Replication of SARS-CoV-2 depends on the viral RNA-dependent RNA polymerase (RdRp), which is the likely target of the investigational nucleotide analogue remdesivir (RDV). RDV shows broad-spectrum antiviral activity against RNA viruses, and previous studies with RdRps from Ebola virus and Middle East respiratory syndrome coronavirus (MERS-CoV) have revealed that delayed chain termination is RDV's plausible mechanism of action. Here, we expressed and purified active SARS-CoV-2 RdRp composed of the nonstructural proteins nsp8 and nsp12. Enzyme kinetics indicated that this RdRp efficiently incorporates the active triphosphate form of RDV (RDV-TP) into RNA. Incorporation of RDV-TP at position <i>i</i> caused termination of RNA synthesis at position <i>i</i>+3. We obtained almost identical results with SARS-CoV, MERS-CoV, and SARS-CoV-2 RdRps. A unique property of RDV-TP is its high selectivity over incorporation of its natural nucleotide counterpart ATP. In this regard, the triphosphate forms of 2'-C-methylated compounds, including sofosbuvir, approved for the management of hepatitis C virus infection, and the broad-acting antivirals favipiravir and ribavirin, exhibited significant deficits. Furthermore, we provide evidence for the target specificity of RDV, as RDV-TP was less efficiently incorporated by the distantly related Lassa virus RdRp, and termination of RNA synthesis was not observed. These results collectively provide a unifying, refined mechanism of RDV-mediated RNA synthesis inhibition in coronaviruses and define this nucleotide analogue as a direct-acting antiviral."
32135218,,,10.1016/j.antiviral.2020.104758,2020,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"In spite of recurrent and dramatic outbreaks, there are no therapeutics approved against Ebola virus disease. Favipiravir, a RNA polymerase inhibitor active against several RNA viruses, recently demonstrated significant but not complete protection in a non-human primate model of Ebola virus disease. In this study, we assessed the benefit of the combination of favipiravir and ribavirin, another broad spectrum antiviral agent, in the same model. 15 female cynomolgus macaques were challenged intramuscularly with 1,000 FFU of Ebola virus Gabon 2001 strain and followed for 21 days. All animals received favipiravir 180 mg/kg twice a day (BID), either as monotherapy (n = 5) or in combination with ribavirin (n = 10). Ribavirin was given either at the dose 10 mg/kg BID (n = 5) or 5 mg/kg BID (n = 5). Favipiravir and ribavirin were initiated two and one days before viral challenge respectively and treatment were continued for 14 days. Treatment effects on viral and hematological markers were assessed using a mathematical model. Survival rate of 0% and 20% were obtained in macaques receiving favipiravir plus ribavirin 10 and 5 mg/kg BID, respectively, compared to 40% in the favipiravir monotherapy group (P = 0.061 when comparing monotherapy and bitherapy, log rank). Viral dynamic modeling analysis did not identify an association between plasma concentrations of ribavirin and viral load levels. Using a model of erythropoiesis, plasma concentrations of ribavirin were strongly associated with a hemoglobin drop (p = 0.0015). Ribavirin plus favipiravir did not extend survival rates and did not lower viral replication rate compared to favipiravir monotherapy in this animal model. Patients receiving this combination in other indications, such as Lassa fever, should be closely monitored to prevent potential toxicity associated with anemia."
30987343,,,10.3390/v11040326,2019,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Remdesivir (GS-5734) is a 1'-cyano-substituted adenosine nucleotide analogue prodrug that shows broad-spectrum antiviral activity against several RNA viruses. This compound is currently under clinical development for the treatment of Ebola virus disease (EVD). While antiviral effects have been demonstrated in cell culture and in non-human primates, the mechanism of action of Ebola virus (EBOV) inhibition for remdesivir remains to be fully elucidated. The EBOV RNA-dependent RNA polymerase (RdRp) complex was recently expressed and purified, enabling biochemical studies with the relevant triphosphate (TP) form of remdesivir and its presumptive target. In this study, we confirmed that remdesivir-TP is able to compete for incorporation with adenosine triphosphate (ATP). Enzyme kinetics revealed that EBOV RdRp and respiratory syncytial virus (RSV) RdRp incorporate ATP and remdesivir-TP with similar efficiencies. The selectivity of ATP against remdesivir-TP is ~4 for EBOV RdRp and ~3 for RSV RdRp. In contrast, purified human mitochondrial RNA polymerase (h-mtRNAP) effectively discriminates against remdesivir-TP with a selectivity value of ~500-fold. For EBOV RdRp, the incorporated inhibitor at position i does not affect the ensuing nucleotide incorporation event at position i+1. For RSV RdRp, we measured a ~6-fold inhibition at position i+1 although RNA synthesis was not terminated. Chain termination was in both cases delayed and was seen predominantly at position i+5. This pattern is specific to remdesivir-TP and its 1'-cyano modification. Compounds with modifications at the 2'-position show different patterns of inhibition. While 2'-C-methyl-ATP is not incorporated, ara-ATP acts as a non-obligate chain terminator and prevents nucleotide incorporation at position i+1. Taken together, our biochemical data indicate that the major contribution to EBOV RNA synthesis inhibition by remdesivir can be ascribed to delayed chain termination. The long distance of five residues between the incorporated nucleotide analogue and its inhibitory effect warrant further investigation."
30550800,,,10.1016/j.antiviral.2018.12.006,2019,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Filoviruses, which include Ebola virus (EBOV) and Marburg virus, are negative-sense RNA viruses associated with sporadic outbreaks of severe viral hemorrhagic fever characterized by uncontrolled virus replication. The extreme virulence and emerging nature of these zoonotic pathogens make them a significant threat to human health. Replication of the filovirus genome and production of viral RNAs require the function of a complex of four viral proteins, the nucleoprotein (NP), viral protein 35 (VP35), viral protein 30 (VP30) and large protein (L). The latter performs the enzymatic activities required for production of viral RNAs and capping of viral mRNAs. Although it has been recognized that interactions between the virus-encoded components of the EBOV RNA polymerase complex are required for viral RNA synthesis reactions, specific molecular details have, until recently, been lacking. New efforts have combined structural biology and molecular virology to reveal in great detail the molecular basis for critical protein-protein interactions (PPIs) necessary for viral RNA synthesis. These efforts include recent studies that have identified a range of interacting host factors and in some instances demonstrated unique mechanisms by which they act. For a select number of these interactions, combined use of mutagenesis, over-expressing of peptides corresponding to PPI interfaces and identification of small molecules that disrupt PPIs have demonstrated the functional significance of virus-virus and virus-host PPIs and suggest several as potential targets for therapeutic intervention."
